time,HS,d,f,lw_in,lw_out,rh,sw_in,sw_out,t,max_glob,max_diff,max_direct,max_up,Diff_ratio,Glob_sum_ratio,f_QC1,HS_QC1,lw_out_QC1,d_QC1,sw_in_QC1,lw_in_QC1,t_QC1,sw_out_QC1,rh_QC1
1996-05-04 16:00:00,-0.03525058,14.06448,3.3554667,282.44412,283.50929,94.593333,349.01095,370.6394,-5.3043333,665.4850809069072,408.14055124104124,466.06278754377956,502.3880647255258,0.6132978228224696,-30.768967767311384,Good,Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-04 17:00:00,-0.02612707,23.635,2.6364333,278.90442,279.55459,94.383333,354.79058,325.19083,-6.0981667,463.8570259148277,280.4427830793909,322.7521222217534,341.08562073186215,0.604588844000576,15.670977826327187,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 18:00:00,-0.01927411,46.970921,1.9939333,273.2067,273.40902,95.353333,225.58953,210.39369,-7.3763333,282.0755960530395,165.314544166925,181.260532883284,195.6604768424316,0.5860646808164165,18.562685317365766,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 19:00:00,-0.0165859,51.686875,1.3166333,271.52406,271.3147,95.703333,137.91217,128.19378999999998,-7.8083333,141.99030706236738,76.59386113949934,53.380709793609704,83.5922456498939,0.5394302098794426,14.61049136403053,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 20:00:00,-0.01619621,62.80386800000001,0.77253333,270.51516000000004,269.51373,95.6,64.750575,59.684023,-8.1423333,100.0,50.0,0.0,50.0,0.5,19.737288791272665,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 21:00:00,-0.0151796,37.220754,0.59923333,270.15948,267.95785,95.423333,20.420526,18.746657,-8.484666699999998,100.0,50.0,0.0,50.0,0.5,59.74183164871326,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 22:00:00,-0.01467828,346.49917,0.1142,268.53156,266.21258,95.2,2.7452185,2.3973989,-8.988,100.0,50.0,0.0,50.0,0.5,287.505361975001,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-04 23:00:00,-0.01465871,335.71371,0.0,267.42348,265.39565,95.23,0.564764,0.44118279999999993,-9.162333300000002,100.0,50.0,0.0,50.0,0.5,809.1845685266036,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-05 00:00:00,-0.01445625,330.81334,0.0,263.11086,259.97789,94.553333,0.17571593,0.28272933,-9.686,100.0,50.0,0.0,50.0,0.5,-934.4624131183571,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-05 01:00:00,-0.01378049,322.8497700000001,0.0,252.66618,249.25007,92.553333,0.020666333,0.2446616,-11.747,100.0,50.0,0.0,50.0,0.5,-446.4380044244417,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-05-05 02:00:00,-0.01307568,298.13738,0.0,255.30642000000003,251.88654,93.753333,0.18953979999999998,0.5858124,-10.859333,100.0,50.0,0.0,50.0,0.5,-252.3515378050362,-s2(p),Good,Good,Good,Good,Good,Good,Good,Good
1996-05-05 03:00:00,-0.01249862,296.5842600000001,0.0,261.9036,257.38227,93.806667,0.53760253,0.49967373,-10.736333,172.71032848309034,96.04987470595721,84.34403492662457,108.16826278647227,0.5561327776373329,4553.540541306083,-s2(p),Good,Good,Good,Good,Good,Good,Good,Good
1996-05-05 04:00:00,-0.01218371,287.59595,0.0,266.63688,262.70719,94.546667,2.5536989,2.4434205,-9.861,326.36977712897436,193.3675255150171,217.30663520027582,231.09582170317947,0.5924798773221038,2959.507728884121,-s2(p),Good,Good,Good,Good,Good,Good,Good,Good
1996-05-05 05:00:00,-0.01101236,357.1940600000001,0.0,267.09174,261.69717,94.053333,16.648381,17.528454999999994,-9.987,515.6203496101721,313.22622141977564,360.55508141219747,382.4962796881377,0.6074745142556653,-585.8829480363878,-s2(p),Good,Good,Good,Good,Good,Good,Good,Good
1996-05-05 06:00:00,-0.00841592,352.1541200000001,0.0,267.36192,260.68714,93.383333,51.208743,55.032535,-10.405667,719.7908229712896,442.5341878818167,503.031562717774,545.8326583770316,0.6148094331837128,-188.24005672151853,-s2(p),Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
1996-05-05 07:00:00,-0.00753266,323.35343,0.0,272.34144,264.71982,92.93,122.05293,131.62197,-10.109,919.3113092305447,568.8971625126783,634.743714714336,705.4490473844357,0.6188297226418764,-96.07142505732493,-s2(p),Good,Good,Good,-c1(p),Good,Good,-c1(p),Good
