  1.2400000e+002 -2.2103410e+000  9.5416051e+001  2.2493341e+002  2.0789232e+002  2.9600284e+002  2.9670304e+002  2.0193846e+000  2.8641639e+002  2.3038462e-002 -2.2333795e+000
  1.2500000e+002 -5.9557681e+000  9.5977500e+001  1.9315435e+002  1.9771334e+002  2.8227113e+002  2.7995346e+002  1.8580653e+000  3.5874965e+002  0.0000000e+000 -5.9557681e+000
  1.2600000e+002 -8.7948208e+000  9.0674444e+001  1.8776389e+002  1.8778580e+002  2.7105253e+002  2.6815218e+002  4.2416472e+000  2.3352954e+002  0.0000000e+000 -8.7948208e+000
  1.2700000e+002 -7.2342167e+000  9.2255833e+001  2.3322999e+002  2.0921686e+002  2.6933825e+002  2.7503206e+002  4.4681750e+000  3.3967964e+002  0.0000000e+000 -7.2342167e+000
  1.2800000e+002 -8.5504042e+000  9.1290833e+001  2.7019334e+002  2.3153045e+002  2.4365163e+002  2.6742483e+002  3.1628708e+000  4.0292430e+001  0.0000000e+000 -8.5504042e+000
  1.2900000e+002 -3.2311403e+000  9.1498472e+001  3.1078422e+002  2.5143226e+002  2.4512394e+002  2.8624400e+002  9.4763445e+000  1.8005024e+002  3.7841667e-002 -3.2689819e+000
  1.3000000e+002  1.4897931e+000  9.4988056e+001  1.6604259e+002  1.4607470e+002  2.9718731e+002  3.0560006e+002  9.8135556e+000  1.7907377e+002  1.4897931e+000  0.0000000e+000
  1.3100000e+002  2.1547819e+000  8.8785181e+001  2.4581069e+002  1.9487128e+002  2.9489050e+002  3.0581342e+002  3.1119806e+000  1.9051899e+002  2.1547819e+000  0.0000000e+000
  1.3200000e+002  1.3861194e+000  9.3805417e+001  2.3438422e+002  1.8348547e+002  2.9497828e+002  3.0483511e+002  1.4804500e+000  1.8048249e+002  1.3962833e+000 -1.0163889e-002
  1.3300000e+002 -2.8583361e-003  8.3759403e+001  2.6941668e+002  1.9905736e+002  2.5496114e+002  2.9870440e+002  1.9153389e+000  1.8872592e+000  3.1659722e-001 -3.1945556e-001
  1.3400000e+002 -2.0945528e+000  9.3680556e+001  2.8883360e+002  2.1330857e+002  2.5240027e+002  2.9618769e+002  2.9827486e+000  3.3925752e+002  0.0000000e+000 -2.0945528e+000
  1.3500000e+002 -3.3946458e+000  7.2528694e+001  3.6255362e+002  2.4608272e+002  2.1436546e+002  2.8565714e+002  2.4354028e+000  2.4700298e+002  0.0000000e+000 -3.3946458e+000
  1.3600000e+002 -2.4422639e+000  7.6946972e+001  3.3287994e+002  2.4303313e+002  2.1021800e+002  2.8649775e+002  3.5728500e+000  2.8862562e+002  6.3583333e-003 -2.4486222e+000
  1.3700000e+002 -3.7292222e+000  6.9600472e+001  3.4265905e+002  2.4365476e+002  1.9595289e+002  2.8057823e+002  2.4964069e+000  2.1655588e+002  5.9304167e-002 -3.7885264e+000
  1.3800000e+002 -4.0551542e+000  8.1569556e+001  3.4001129e+002  2.4554931e+002  2.1273369e+002  2.8297225e+002  4.5906056e+000  1.7745008e+002  7.0333332e-003 -4.0621875e+000
  1.3900000e+002 -5.5511569e+000  9.5658472e+001  2.5998080e+002  2.2551972e+002  2.6572502e+002  2.8259008e+002  5.8517681e+000  4.2791299e+001  0.0000000e+000 -5.5511569e+000
  1.4000000e+002 -5.2754278e+000  9.6036528e+001  2.5376439e+002  2.1689792e+002  2.7039247e+002  2.8106034e+002  4.2585000e+000  4.5054581e+001  0.0000000e+000 -5.2754278e+000
  1.4100000e+002 -4.6801389e+000  9.7128194e+001  1.7938879e+002  1.6640280e+002  2.8757583e+002  2.8501025e+002  4.5485944e+000  1.7701282e+001  0.0000000e+000 -4.6801389e+000
  1.4200000e+002 -2.1704986e+000  9.8123194e+001  2.0502205e+002  1.8413400e+002  2.9627189e+002  2.9491990e+002  2.3056375e+000  4.7451269e+001  0.0000000e+000 -2.1704986e+000
  1.4300000e+002 -1.1862222e+000  9.7657361e+001  2.7745441e+002  2.3312832e+002  2.8749147e+002  3.0034508e+002  2.7264986e+000  4.8788449e+001  0.0000000e+000 -1.1862222e+000
  1.4400000e+002 -9.6977222e-001  9.7631528e+001  2.1197389e+002  1.7641489e+002  3.0132808e+002  3.0074782e+002  3.7041111e+000  4.1356059e+001  1.2508194e-001 -1.0948542e+000
  1.4500000e+002 -1.9425389e+000  9.5574028e+001  2.5757127e+002  2.2109247e+002  2.8380899e+002  2.9451220e+002  2.3785903e+000  4.5711607e+001  7.7745834e-002 -2.0202847e+000
  1.4600000e+002 -2.3931333e+000  9.5037222e+001  2.4728981e+002  2.2074502e+002  2.8946495e+002  2.9734068e+002  2.4610264e+000  2.3498716e+002  0.0000000e+000 -2.3931333e+000
  1.4700000e+002 -3.7334555e+000  9.3466111e+001  2.5059609e+002  2.2239912e+002  2.8604481e+002  2.9098763e+002  1.2691597e+000  9.8411388e+001  0.0000000e+000 -3.7334555e+000
  1.4800000e+002 -1.7371195e+000  8.8226431e+001  3.3729881e+002  2.6111170e+002  2.3892961e+002  2.9338211e+002  4.5007458e+000  1.9973196e+002  2.6364861e-001 -2.0007681e+000
  1.4900000e+002 -1.1303417e+000  9.3806528e+001  3.4371917e+002  2.8115796e+002  2.4407942e+002  2.9711974e+002  1.0253149e+001  1.5931179e+002  2.1317639e-001 -1.3435181e+000
  1.5000000e+002 -1.1011986e+000  9.2073611e+001  3.4742334e+002  2.6736660e+002  2.3935853e+002  2.9605881e+002  7.4084639e+000  1.6494525e+002  3.1580555e-002 -1.1327792e+000
